decil,ingreso,entidad_federativa
I ,    2 174,NACIONAL
II ,    3 778,NACIONAL
III,    4 937,NACIONAL
IV,    6 110,NACIONAL
V,    7 351,NACIONAL
VI,    8 834,NACIONAL
VII,    10 808,NACIONAL
VIII,    13 717,NACIONAL
IX,    19 114,NACIONAL
X,    50 107,NACIONAL
I ,    2 943,AGUASCALIENTES
II ,    4 770,AGUASCALIENTES
III,    5 996,AGUASCALIENTES
IV,    7 148,AGUASCALIENTES
V,    8 381,AGUASCALIENTES
VI,    9 957,AGUASCALIENTES
VII,    11 926,AGUASCALIENTES
VIII,    14 780,AGUASCALIENTES
IX,    19 943,AGUASCALIENTES
X,    42 486,AGUASCALIENTES
I ,    4 076,BAJA CALIFORNIA
II ,    6 055,BAJA CALIFORNIA
III,    7 431,BAJA CALIFORNIA
IV,    9 070,BAJA CALIFORNIA
V,    10 747,BAJA CALIFORNIA
VI,    12 736,BAJA CALIFORNIA
VII,    15 325,BAJA CALIFORNIA
VIII,    19 809,BAJA CALIFORNIA
IX,    28 048,BAJA CALIFORNIA
X,    57 242,BAJA CALIFORNIA
I ,    3 996,BAJA CALIFORNIA SUR
II ,    6 005,BAJA CALIFORNIA SUR
III,    7 506,BAJA CALIFORNIA SUR
IV,    9 027,BAJA CALIFORNIA SUR
V,    10 617,BAJA CALIFORNIA SUR
VI,    12 494,BAJA CALIFORNIA SUR
VII,    15 293,BAJA CALIFORNIA SUR
VIII,    19 365,BAJA CALIFORNIA SUR
IX,    26 128,BAJA CALIFORNIA SUR
X,    57 399,BAJA CALIFORNIA SUR
I ,    2 495,CAMPECHE
II ,    4 071,CAMPECHE
III,    4 988,CAMPECHE
IV,    5 996,CAMPECHE
V,    7 254,CAMPECHE
VI,    8 777,CAMPECHE
VII,    10 909,CAMPECHE
VIII,    13 801,CAMPECHE
IX,    19 471,CAMPECHE
X,    42 792,CAMPECHE
I ,    2 941,COAHUILA DE ZARAGOZA
II ,    4 689,COAHUILA DE ZARAGOZA
III,    5 932,COAHUILA DE ZARAGOZA
IV,    7 099,COAHUILA DE ZARAGOZA
V,    8 353,COAHUILA DE ZARAGOZA
VI,    9 880,COAHUILA DE ZARAGOZA
VII,    11 745,COAHUILA DE ZARAGOZA
VIII,    14 688,COAHUILA DE ZARAGOZA
IX,    19 735,COAHUILA DE ZARAGOZA
X,    42 909,COAHUILA DE ZARAGOZA
I ,    3 515,COLIMA
II ,    5 218,COLIMA
III,    6 466,COLIMA
IV,    7 600,COLIMA
V,    8 968,COLIMA
VI,    10 611,COLIMA
VII,    12 778,COLIMA
VIII,    16 192,COLIMA
IX,    21 702,COLIMA
X,    46 108,COLIMA
I ,     986,CHIAPAS
II ,    1 519,CHIAPAS
III,    2 015,CHIAPAS
IV,    2 529,CHIAPAS
V,    3 139,CHIAPAS
VI,    3 998,CHIAPAS
VII,    5 034,CHIAPAS
VIII,    6 635,CHIAPAS
IX,    9 394,CHIAPAS
X,    21 882,CHIAPAS
I ,    2 722,CHIHUAHUA
II ,    4 471,CHIHUAHUA
III,    5 725,CHIHUAHUA
IV,    6 979,CHIHUAHUA
V,    8 264,CHIHUAHUA
VI,    9 800,CHIHUAHUA
VII,    11 785,CHIHUAHUA
VIII,    15 089,CHIHUAHUA
IX,    21 505,CHIHUAHUA
X,    52 652,CHIHUAHUA
I ,    4 005,CIUDAD DE MÉXICO
II ,    6 233,CIUDAD DE MÉXICO
III,    7 889,CIUDAD DE MÉXICO
IV,    9 774,CIUDAD DE MÉXICO
V,    11 975,CIUDAD DE MÉXICO
VI,    14 247,CIUDAD DE MÉXICO
VII,    17 939,CIUDAD DE MÉXICO
VIII,    23 391,CIUDAD DE MÉXICO
IX,    36 029,CIUDAD DE MÉXICO
X,    87 929,CIUDAD DE MÉXICO
I ,    2 496,DURANGO
II ,    3 975,DURANGO
III,    5 073,DURANGO
IV,    6 137,DURANGO
V,    7 182,DURANGO
VI,    8 647,DURANGO
VII,    10 397,DURANGO
VIII,    12 802,DURANGO
IX,    17 245,DURANGO
X,    34 841,DURANGO
I ,    2 697,GUANAJUATO
II ,    4 155,GUANAJUATO
III,    5 255,GUANAJUATO
IV,    6 242,GUANAJUATO
V,    7 372,GUANAJUATO
VI,    8 658,GUANAJUATO
VII,    10 302,GUANAJUATO
VIII,    12 619,GUANAJUATO
IX,    16 943,GUANAJUATO
X,    71 024,GUANAJUATO
I ,    1 296,GUERRERO
II ,    2 221,GUERRERO
III,    2 977,GUERRERO
IV,    3 805,GUERRERO
V,    4 619,GUERRERO
VI,    5 653,GUERRERO
VII,    6 940,GUERRERO
VIII,    8 940,GUERRERO
IX,    12 592,GUERRERO
X,    25 568,GUERRERO
I ,    1 924,HIDALGO
II ,    3 151,HIDALGO
III,    4 085,HIDALGO
IV,    4 882,HIDALGO
V,    5 665,HIDALGO
VI,    6 643,HIDALGO
VII,    7 888,HIDALGO
VIII,    9 403,HIDALGO
IX,    12 690,HIDALGO
X,    29 415,HIDALGO
I ,    3 468,JALISCO
II ,    5 362,JALISCO
III,    6 586,JALISCO
IV,    7 651,JALISCO
V,    8 950,JALISCO
VI,    10 670,JALISCO
VII,    12 685,JALISCO
VIII,    15 912,JALISCO
IX,    21 249,JALISCO
X,    47 105,JALISCO
I ,    2 825,MÉXICO
II ,    4 209,MÉXICO
III,    5 103,MÉXICO
IV,    6 217,MÉXICO
V,    7 291,MÉXICO
VI,    8 472,MÉXICO
VII,    10 125,MÉXICO
VIII,    12 667,MÉXICO
IX,    17 485,MÉXICO
X,    37 098,MÉXICO
I ,    2 060,MICHOACÁN DE OCAMPO
II ,    3 408,MICHOACÁN DE OCAMPO
III,    4 332,MICHOACÁN DE OCAMPO
IV,    5 205,MICHOACÁN DE OCAMPO
V,    6 121,MICHOACÁN DE OCAMPO
VI,    7 255,MICHOACÁN DE OCAMPO
VII,    8 714,MICHOACÁN DE OCAMPO
VIII,    10 730,MICHOACÁN DE OCAMPO
IX,    14 528,MICHOACÁN DE OCAMPO
X,    29 494,MICHOACÁN DE OCAMPO
I ,    2 921,MORELOS
II ,    4 232,MORELOS
III,    5 247,MORELOS
IV,    6 298,MORELOS
V,    7 452,MORELOS
VI,    8 662,MORELOS
VII,    10 401,MORELOS
VIII,    12 789,MORELOS
IX,    18 162,MORELOS
X,    41 861,MORELOS
I ,    1 870,NAYARIT
II ,    3 769,NAYARIT
III,    5 139,NAYARIT
IV,    6 295,NAYARIT
V,    7 654,NAYARIT
VI,    9 297,NAYARIT
VII,    11 097,NAYARIT
VIII,    14 025,NAYARIT
IX,    19 214,NAYARIT
X,    42 962,NAYARIT
I ,    4 107,NUEVO LEÓN
II ,    6 453,NUEVO LEÓN
III,    8 012,NUEVO LEÓN
IV,    9 497,NUEVO LEÓN
V,    11 046,NUEVO LEÓN
VI,    12 803,NUEVO LEÓN
VII,    15 314,NUEVO LEÓN
VIII,    18 717,NUEVO LEÓN
IX,    25 415,NUEVO LEÓN
X,    126 523,NUEVO LEÓN
I ,    1 224,OAXACA
II ,    2 169,OAXACA
III,    2 934,OAXACA
IV,    3 743,OAXACA
V,    4 570,OAXACA
VI,    5 421,OAXACA
VII,    6 741,OAXACA
VIII,    8 582,OAXACA
IX,    11 756,OAXACA
X,    27 194,OAXACA
I ,    2 276,PUEBLA
II ,    3 366,PUEBLA
III,    4 174,PUEBLA
IV,    5 026,PUEBLA
V,    5 892,PUEBLA
VI,    6 858,PUEBLA
VII,    8 132,PUEBLA
VIII,    10 081,PUEBLA
IX,    13 822,PUEBLA
X,    33 583,PUEBLA
I ,    3 311,QUERÉTARO
II ,    4 989,QUERÉTARO
III,    6 195,QUERÉTARO
IV,    7 485,QUERÉTARO
V,    8 922,QUERÉTARO
VI,    10 802,QUERÉTARO
VII,    13 418,QUERÉTARO
VIII,    17 250,QUERÉTARO
IX,    24 614,QUERÉTARO
X,    55 638,QUERÉTARO
I ,    2 873,QUINTANA ROO
II ,    4 811,QUINTANA ROO
III,    6 245,QUINTANA ROO
IV,    7 864,QUINTANA ROO
V,    9 438,QUINTANA ROO
VI,    11 505,QUINTANA ROO
VII,    14 071,QUINTANA ROO
VIII,    17 785,QUINTANA ROO
IX,    24 752,QUINTANA ROO
X,    50 481,QUINTANA ROO
I ,    2 177,SAN LUIS POTOSÍ
II ,    3 413,SAN LUIS POTOSÍ
III,    4 521,SAN LUIS POTOSÍ
IV,    5 663,SAN LUIS POTOSÍ
V,    6 855,SAN LUIS POTOSÍ
VI,    8 198,SAN LUIS POTOSÍ
VII,    10 142,SAN LUIS POTOSÍ
VIII,    12 836,SAN LUIS POTOSÍ
IX,    16 892,SAN LUIS POTOSÍ
X,    34 881,SAN LUIS POTOSÍ
I ,    3 120,SINALOA
II ,    4 844,SINALOA
III,    6 091,SINALOA
IV,    7 256,SINALOA
V,    8 561,SINALOA
VI,    9 981,SINALOA
VII,    12 021,SINALOA
VIII,    15 043,SINALOA
IX,    20 235,SINALOA
X,    44 182,SINALOA
I ,    3 513,SONORA
II ,    5 397,SONORA
III,    6 810,SONORA
IV,    8 200,SONORA
V,    9 803,SONORA
VI,    11 775,SONORA
VII,    14 180,SONORA
VIII,    17 581,SONORA
IX,    23 771,SONORA
X,    68 130,SONORA
I ,    2 285,TABASCO
II ,    3 488,TABASCO
III,    4 375,TABASCO
IV,    5 193,TABASCO
V,    6 242,TABASCO
VI,    7 480,TABASCO
VII,    9 063,TABASCO
VIII,    11 442,TABASCO
IX,    15 828,TABASCO
X,    34 348,TABASCO
I ,    2 835,TAMAULIPAS
II ,    4 608,TAMAULIPAS
III,    5 914,TAMAULIPAS
IV,    7 217,TAMAULIPAS
V,    8 715,TAMAULIPAS
VI,    10 314,TAMAULIPAS
VII,    12 420,TAMAULIPAS
VIII,    15 399,TAMAULIPAS
IX,    20 643,TAMAULIPAS
X,    51 809,TAMAULIPAS
I ,    2 521,TLAXCALA
II ,    3 604,TLAXCALA
III,    4 431,TLAXCALA
IV,    5 162,TLAXCALA
V,    5 962,TLAXCALA
VI,    6 900,TLAXCALA
VII,    8 039,TLAXCALA
VIII,    9 626,TLAXCALA
IX,    12 583,TLAXCALA
X,    24 981,TLAXCALA
I ,    1 774,VERACRUZ DE IGNACIO DE LA LLAVE
II ,    2 772,VERACRUZ DE IGNACIO DE LA LLAVE
III,    3 694,VERACRUZ DE IGNACIO DE LA LLAVE
IV,    4 607,VERACRUZ DE IGNACIO DE LA LLAVE
V,    5 588,VERACRUZ DE IGNACIO DE LA LLAVE
VI,    6 667,VERACRUZ DE IGNACIO DE LA LLAVE
VII,    8 188,VERACRUZ DE IGNACIO DE LA LLAVE
VIII,    10 595,VERACRUZ DE IGNACIO DE LA LLAVE
IX,    14 728,VERACRUZ DE IGNACIO DE LA LLAVE
X,    34 746,VERACRUZ DE IGNACIO DE LA LLAVE
I ,    2 630,YUCATÁN
II ,    4 086,YUCATÁN
III,    5 122,YUCATÁN
IV,    6 163,YUCATÁN
V,    7 208,YUCATÁN
VI,    8 401,YUCATÁN
VII,    10 082,YUCATÁN
VIII,    12 353,YUCATÁN
IX,    16 522,YUCATÁN
X,    42 344,YUCATÁN
I ,    1 845,ZACATECAS
II ,    3 093,ZACATECAS
III,    3 957,ZACATECAS
IV,    4 836,ZACATECAS
V,    5 803,ZACATECAS
VI,    6 899,ZACATECAS
VII,    8 299,ZACATECAS
VIII,    10 516,ZACATECAS
IX,    14 643,ZACATECAS
X,    37 031,ZACATECAS
